id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
34136484,2705389,203,3.38,"","","","","","",""
34136542,2705389,627,0,"","","","","","",""
34136536,2705389,617,0.214,"","","","","","",""
34136501,2705389,312,0.001,"","","","","","",""
34136510,2705389,337,0,"","","","","","",""
34136499,2705389,307,39,"","","","","","",""
34136532,2705389,611,0.026,"","","","","","",""
34136517,2705389,417,2,"","","","","","",""
34136524,2705389,573,0,"","","","","","",""
34136552,2705390,208,34,"","","","","","",""
34136592,2705390,606,0.049,"","","","","","",""
34136577,2705390,401,0,"","","","","","",""
34136560,2705390,303,0,"","","","","","",""
34136589,2705390,573,0,"","","","","","",""
34136611,2705390,631,0,"","","","","","",""
34136585,2705390,430,0,"","","","","","",""
34136596,2705390,610,0.002,"","","","","","",""
34136564,2705390,307,41,"","","","","","",""
34136600,2705390,614,0.009,"","","","","","",""
34136584,2705390,421,18.2,"","","","","","",""
34136569,2705390,320,64,"","","","","","",""
34136563,2705390,306,167,"","","","","","",""
34136591,2705390,601,3,"","","","","","",""
34136590,2705390,578,0,"","","","","","",""
34136597,2705390,611,0.002,"","","","","","",""
34136613,2705390,646,0.006,"","","","","","",""
34136601,2705390,617,0.018,"","","","","","",""
34136610,2705390,630,0,"","","","","","",""
34136574,2705390,334,0,"","","","","","",""
34136598,2705390,612,0.008,"","","","","","",""
34136588,2705390,435,2,"","","","","","",""
34136571,2705390,322,0,"","","","","","",""
34136575,2705390,337,0,"","","","","","",""
34136582,2705390,417,2,"","","","","","",""
34136604,2705390,620,0,"","","","","","",""
34136561,2705390,304,12,"","","","","","",""
34136567,2705390,317,2,"","","","","","",""
34136559,2705390,301,132,"","","","","","",""
34136551,2705390,205,4.92,"","","","","","",""
34136578,2705390,404,0.056,"","","","","","",""
34136593,2705390,607,0.003,"","","","","","",""
34136607,2705390,627,0,"","","","","","",""
34136581,2705390,415,0.058,"","","","","","",""
34136570,2705390,321,2,"","","","","","",""
34136576,2705390,338,0,"","","","","","",""
